
="44.statefip",="0.370",="",="",=""
="",="(1.92)",="",="",=""

="50.statefip",="-1.233*",="",="",=""
="",="(-2.31)",="",="",=""

="17.statefip",="",="0",="",=""
="",="",="(.)",="",=""

="18.statefip",="",="-2.928***",="",=""
="",="",="(-18.07)",="",=""

="19.statefip",="",="-1.450**",="",=""
="",="",="(-3.48)",="",=""

="20.statefip",="",="-0.813*",="",=""
="",="",="(-2.86)",="",=""

="26.statefip",="",="-0.632***",="",=""
="",="",="(-7.38)",="",=""

="27.statefip",="",="-1.144*",="",=""
="",="",="(-2.55)",="",=""

="29.statefip",="",="-1.981***",="",=""
="",="",="(-8.25)",="",=""

="31.statefip",="",="-0.492",="",=""
="",="",="(-1.00)",="",=""

="38.statefip",="",="-1.559*",="",=""
="",="",="(-2.66)",="",=""

="39.statefip",="",="-0.892***",="",=""
="",="",="(-7.45)",="",=""

="46.statefip",="",="-0.229",="",=""
="",="",="(-0.46)",="",=""

="55.statefip",="",="-0.219",="",=""
="",="",="(-1.11)",="",=""

="1.statefip",="",="",="0",=""
="",="",="",="(.)",=""

="5.statefip",="",="",="-0.533***",=""
="",="",="",="(-4.90)",=""

="10.statefip",="",="",="-0.179",=""
="",="",="",="(-1.20)",=""

="11.statefip",="",="",="1.059**",=""
="",="",="",="(2.97)",=""

="12.statefip",="",="",="1.322***",=""
="",="",="",="(12.72)",=""

="13.statefip",="",="",="-0.862***",=""
="",="",="",="(-14.12)",=""

="21.statefip",="",="",="-0.902***",=""
="",="",="",="(-5.65)",=""

="22.statefip",="",="",="0.837***",=""
="",="",="",="(13.54)",=""

="24.statefip",="",="",="1.738***",=""
="",="",="",="(9.99)",=""

="28.statefip",="",="",="1.417***",=""
="",="",="",="(11.57)",=""

="37.statefip",="",="",="0.700***",=""
="",="",="",="(9.59)",=""

="40.statefip",="",="",="-0.447",=""
="",="",="",="(-1.72)",=""

="45.statefip",="",="",="0.169",=""
="",="",="",="(1.18)",=""

="47.statefip",="",="",="1.092***",=""
="",="",="",="(11.20)",=""

="48.statefip",="",="",="2.233***",=""
="",="",="",="(15.40)",=""

="51.statefip",="",="",="0.103",=""
