
="",="(15.24)",="(1.98)",="(-1.03)",="(-2.66)",="(1.73)",="(-1.06)",="(6.13)",="(-0.14)"

="2006.year",="0.399***",="0.0793**",="-0.0309",="-0.0943***",="0.0507",="-0.0677",="0.0830***",="0.00468"
="",="(10.41)",="(2.79)",="(-1.57)",="(-4.25)",="(1.65)",="(-0.97)",="(4.22)",="(0.43)"

="2007.year",="0.432***",="0.0739*",="-0.00510",="-0.103***",="0.0422",="0.0242",="0.0900***",="-0.0118"
="",="(18.56)",="(2.61)",="(-0.25)",="(-4.26)",="(1.32)",="(0.48)",="(4.49)",="(-1.05)"

="2008.year",="0.404***",="0.0641*",="0.00595",="-0.107**",="0.0636",="0.00468",="0.0763**",="-0.0109"
="",="(14.94)",="(2.01)",="(0.24)",="(-3.35)",="(1.19)",="(0.08)",="(3.44)",="(-1.12)"

="2009.year",="0.417***",="0.0515",="-0.00799",="-0.0820**",="0.0525*",="0.0639",="0.104***",="-0.0147"
="",="(19.42)",="(1.77)",="(-0.31)",="(-2.83)",="(2.22)",="(1.40)",="(4.52)",="(-1.35)"

="2010.year",="0.460***",="0.0636*",="-0.00944",="-0.0691*",="0.0307",="0.00588",="0.151***",="-0.0146"
="",="(18.62)",="(2.38)",="(-0.34)",="(-2.02)",="(0.92)",="(0.08)",="(7.55)",="(-1.44)"

="2011.year",="-0.0242",="0.0705**",="-0.0350",="-0.0890*",="0.0645",="-0.0241",="0.00570",="-0.00874"
="",="(-1.93)",="(2.94)",="(-1.26)",="(-2.65)",="(1.77)",="(-0.41)",="(0.39)",="(-0.86)"

="2012.year",="-0.00534",="0.158***",="-0.0276",="-0.121***",="0.0146",="-0.0320",="0.0314",="-0.0144"
="",="(-0.37)",="(6.34)",="(-1.23)",="(-3.69)",="(0.41)",="(-0.51)",="(1.16)",="(-1.47)"

="2013.year",="-0.0182",="0.134***",="-0.0414*",="-0.132***",="0.0616*",="-0.112*",="0.0205",="-0.0187"
="",="(-1.13)",="(5.52)",="(-2.24)",="(-4.80)",="(2.22)",="(-2.08)",="(1.27)",="(-1.71)"

="2014.year",="-0.0178",="0.154***",="-0.0679***",="-0.102***",="0.00709",="-0.0341",="0.0101",="-0.0201"
="",="(-1.42)",="(6.86)",="(-3.83)",="(-4.08)",="(0.22)",="(-0.71)",="(0.63)",="(-2.00)"

="2015.year",="-0.0199",="0.191***",="-0.0810***",="-0.122***",="0.0477",="-0.0596",="-0.0202",="-0.0128"
="",="(-1.53)",="(7.94)",="(-4.53)",="(-3.98)",="(1.09)",="(-0.80)",="(-1.16)",="(-1.03)"

="2016.year",="-0.0264*",="0.119***",="-0.0533*",="-0.109***",="0.0644",="-0.0941",="-0.00139",="-0.0144"
="",="(-2.04)",="(4.56)",="(-2.48)",="(-3.94)",="(1.43)",="(-1.51)",="(-0.08)",="(-1.54)"

="2017.year",="-0.0237",="0.148***",="-0.0417",="-0.108***",="0.0254",="-0.0570",="0.00348",="-0.00635"
="",="(-1.67)",="(3.85)",="(-1.94)",="(-4.19)",="(0.60)",="(-0.74)",="(0.21)",="(-0.83)"

="2018.year",="-0.0125",="0.136***",="-0.0744**",="-0.101**",="0.0454",="-0.203*",="-0.0412*",="-0.0120"
="",="(-1.02)",="(3.86)",="(-3.35)",="(-2.95)",="(1.15)",="(-2.44)",="(-2.02)",="(-1.05)"

="2019.year",="-0.0158",="0.116**",="-0.0794***",="-0.108***",="0.0790*",="-0.144*",="-0.0379*",="-0.00892"
="",="(-1.13)",="(3.06)",="(-3.80)",="(-3.86)",="(2.04)",="(-2.06)",="(-2.48)",="(-0.79)"

="1.statefip",="0",="0",="0",="0",="0",="0",="0",="0"
="",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)",="(.)"

="2.statefip",="0.00540",="-0.115***",="-0.122***",="-0.00803",="0.188***",="-0.120***",="0.0213**",="0.0222***"
="",="(1.14)",="(-10.03)",="(-17.91)",="(-0.91)",="(17.13)",="(-6.80)",="(3.26)",="(10.10)"

="4.statefip",="-0.00804",="-0.0206",="-0.0608***",="0.0112",="0.0350**",="0.00826",="-0.0644***",="-0.0234***"
="",="(-1.37)",="(-1.91)",="(-7.79)",="(1.44)",="(3.12)",="(0.43)",="(-11.51)",="(-8.64)"

="5.statefip",="0.0254***",="-0.00523",="0.00156",="0.00260",="-0.0209**",="-0.0400***",="-0.0192***",="0.0417***"
="",="(8.42)",="(-1.06)",="(0.38)",="(0.54)",="(-2.88)",="(-3.63)",="(-5.85)",="(30.40)"

="6.statefip",="0.00274",="0.00103",="-0.105***",="0.0402***",="0.0673***",="0.161***",="0.000667",="-0.0282***"
="",="(0.51)",="(0.07)",="(-11.21)",="(3.89)",="(5.19)",="(8.40)",="(0.11)",="(-10.42)"

="8.statefip",="0.0472***",="0.0853***",="-0.107***",="0.0289***",="-0.0155",="0.204***",="-0.0531***",="-0.0103***"
="",="(10.00)",="(10.20)",="(-15.24)",="(3.96)",="(-1.57)",="(11.28)",="(-12.06)",="(-4.94)"

="9.statefip",="0.0905***",="-0.0783***",="-0.138***",="-0.0393***",="0.227***",="0.149***",="0.0553***",="-0.0144***"
="",="(11.98)",="(-7.55)",="(-16.76)",="(-4.44)",="(20.15)",="(7.98)",="(9.41)",="(-5.47)"

="10.statefip",="0.0617***",="-0.0459***",="-0.0743***",="0.00517",="0.123***",="0.00461",="-0.0656***",="-0.0222***"
="",="(18.35)",="(-7.05)",="(-11.99)",="(0.88)",="(12.77)",="(0.31)",="(-18.48)",="(-13.41)"

="11.statefip",="-0.0343***",="-0.130***",="-0.0701***",="-0.0448***",="0.233***",="0.150***",="0.000908",="-0.0340***"
="",="(-5.75)",="(-6.77)",="(-5.43)",="(-3.83)",="(11.80)",="(5.35)",="(0.15)",="(-10.46)"

="12.statefip",="0.00986***",="-0.0220***",="-0.0421***",="0.0182***",="-0.0104",="-0.0225",="-0.0465***",="-0.0165***"
="",="(3.81)",="(-4.06)",="(-8.49)",="(5.17)",="(-1.43)",="(-1.63)",="(-15.71)",="(-12.49)"

="13.statefip",="0.0404***",="-0.0400***",="-0.0980***",="0.0366***",="0.105***",="-0.179***",="-0.0554***",="-0.0278***"
="",="(17.18)",="(-10.51)",="(-22.79)",="(11.19)",="(21.02)",="(-22.41)",="(-25.23)",="(-27.65)"

="15.statefip",="-0.0149*",="-0.141***",="-0.115***",="-0.0404***",="0.0950***",="-0.707***",="-0.0494***",="-0.0287***"
="",="(-2.49)",="(-10.37)",="(-10.03)",="(-4.12)",="(4.66)",="(-30.45)",="(-5.92)",="(-11.74)"

="16.statefip",="0.0779***",="0.0222*",="-0.0306***",="0.0225**",="-0.0563***",="0.188***",="-0.0175**",="0.00520**"
="",="(18.31)",="(2.28)",="(-4.00)",="(3.10)",="(-4.86)",="(9.05)",="(-3.15)",="(2.72)"

="17.statefip",="0.0771***",="-0.0106",="-0.115***",="-0.0299***",="0.124***",="0.0430**",="-0.00393",="-0.0188***"
="",="(19.21)",="(-1.35)",="(-20.98)",="(-4.57)",="(15.12)",="(2.93)",="(-0.92)",="(-9.26)"

="18.statefip",="0.0617***",="-0.0837***",="-0.0495***",="-0.0637***",="0.170***",="-0.0723***",="0.0496***",="-0.0114***"
="",="(10.94)",="(-12.65)",="(-14.44)",="(-10.82)",="(21.22)",="(-5.21)",="(14.16)",="(-5.28)"

="19.statefip",="0.0921***",="-0.0365**",="-0.119***",="0.00374",="0.167***",="0.297***",="-0.0156***",="0.0250***"
="",="(17.15)",="(-2.96)",="(-8.75)",="(0.39)",="(9.82)",="(12.10)",="(-3.75)",="(14.88)"

="20.statefip",="0.0551***",="0.0372***",="-0.127***",="0.0206*",="0.0847***",="0.116***",="0.0343***",="0.0124***"
="",="(8.13)",="(3.60)",="(-11.75)",="(2.14)",="(6.44)",="(5.41)",="(6.27)",="(4.19)"

="21.statefip",="0.0256***",="-0.0588***",="-0.0534***",="0.0738***",="-0.00345",="-0.00738",="-0.0105*",="-0.00209"
="",="(4.88)",="(-7.22)",="(-12.23)",="(11.27)",="(-0.44)",="(-0.61)",="(-2.05)",="(-1.06)"

="22.statefip",="0.0198***",="-0.0872***",="-0.0291***",="0.0126***",="0.0762***",="0.0120",="-0.0593***",="-0.0289***"
="",="(7.21)",="(-22.12)",="(-7.37)",="(4.22)",="(18.51)",="(1.47)",="(-19.09)",="(-22.58)"

="23.statefip",="-0.00749",="0.00910",="-0.0626***",="-0.0637***",="0.0438**",="-0.144***",="-0.0728***",="0.0390***"
="",="(-1.17)",="(1.19)",="(-7.28)",="(-8.31)",="(3.12)",="(-8.25)",="(-10.62)",="(16.78)"

="24.statefip",="0.0122**",="-0.0555***",="-0.104***",="0.00418",="0.108***",="-0.128***",="-0.0509***",="-0.0321***"
="",="(3.14)",="(-9.45)",="(-16.93)",="(0.92)",="(13.12)",="(-8.54)",="(-13.15)",="(-22.42)"

="25.statefip",="0.0200***",="-0.108***",="-0.0503***",="0.0209*",="0.118***",="0.167***",="-0.00498",="-0.0181***"
="",="(4.42)",="(-10.13)",="(-4.98)",="(2.48)",="(8.67)",="(7.85)",="(-0.94)",="(-8.20)"

="26.statefip",="0.0385***",="-0.0479***",="-0.0991***",="-0.0261***",="0.109***",="0.0875***",="0.0172***",="-0.0225***"
="",="(8.36)",="(-4.67)",="(-15.63)",="(-4.24)",="(13.44)",="(6.48)",="(4.05)",="(-12.77)"

="27.statefip",="0.0512***",="-0.0102",="-0.0788***",="-0.0401***",="0.0821***",="0.297***",="-0.0279***",="0.0311***"
="",="(14.51)",="(-1.00)",="(-5.51)",="(-4.37)",="(5.58)",="(13.21)",="(-5.48)",="(17.06)"

="28.statefip",="0.0248***",="0.00732",="-0.0649***",="0.0320***",="-0.0374***",="0.0332**",="-0.0896***",="-0.0189***"
="",="(9.92)",="(1.26)",="(-9.94)",="(7.11)",="(-4.61)",="(3.36)",="(-39.91)",="(-16.60)"

="29.statefip",="0.0710***",="0.00799",="-0.121***",="0.00480",="0.0893***",="-0.0186",="-0.0322***",="-0.0125***"
="",="(20.43)",="(1.47)",="(-32.06)",="(1.19)",="(13.04)",="(-1.33)",="(-10.87)",="(-9.50)"

="30.statefip",="0.000972",="0.0183",="-0.0731***",="-0.00113",="0.0425**",="-0.0674***",="-0.0292***",="-0.0150***"
="",="(0.15)",="(1.82)",="(-10.38)",="(-0.16)",="(3.32)",="(-3.73)",="(-4.91)",="(-6.36)"

="31.statefip",="0.0664***",="0.0127",="-0.0649**",="0.0600***",="-0.0333",="0.0154",="-0.0481***",="0.0252***"
="",="(17.37)",="(0.68)",="(-3.41)",="(4.11)",="(-1.33)",="(0.52)",="(-12.33)",="(15.49)"

="32.statefip",="0.0337***",="0.0392*",="-0.0610***",="0.0957***",="-0.0185",="0.213***",="0.0816***",="-0.00859***"
="",="(7.23)",="(2.39)",="(-5.23)",="(9.10)",="(-1.04)",="(8.98)",="(17.22)",="(-3.54)"

="33.statefip",="-0.00145",="-0.235***",="-0.0987***",="0.135***",="0.252***",="0.202***",="0.0316***",="0.00159"
="",="(-0.25)",="(-16.97)",="(-6.89)",="(11.90)",="(13.15)",="(6.85)",="(4.48)",="(0.64)"

="34.statefip",="0.0248***",="-0.0663***",="-0.0732***",="-0.0367***",="0.168***",="-0.0521***",="-0.0243***",="-0.0330***"
="",="(7.21)",="(-14.38)",="(-20.79)",="(-8.87)",="(29.84)",="(-5.18)",="(-7.09)",="(-25.23)"

="35.statefip",="0.0115*",="-0.0202*",="-0.0498***",="0.0433***",="0.0258*",="-0.0669***",="-0.0686***",="-0.00289"
="",="(2.59)",="(-2.42)",="(-9.84)",="(6.21)",="(2.67)",="(-4.55)",="(-13.24)",="(-1.77)"

="36.statefip",="-0.0182**",="-0.0646***",="-0.100***",="0.0779***",="0.0827***",="0.0528*",="-0.0179**",="-0.0231***"
="",="(-2.82)",="(-4.90)",="(-9.36)",="(8.30)",="(7.15)",="(2.29)",="(-2.99)",="(-7.25)"

="37.statefip",="0.0661***",="-0.0119*",="-0.0919***",="0.0596***",="0.0281***",="-0.0151",="-0.0378***",="-0.0101***"
="",="(30.56)",="(-2.47)",="(-24.89)",="(15.78)",="(4.88)",="(-1.52)",="(-15.07)",="(-11.45)"

="38.statefip",="0.00530",="-0.105***",="-0.133***",="0.0431**",="0.205***",="0.0299",="-0.0200***",="0.0339***"
="",="(1.09)",="(-5.81)",="(-7.21)",="(3.17)",="(8.35)",="(0.96)",="(-4.46)",="(15.60)"

="39.statefip",="0.0391***",="-0.0282***",="-0.0544***",="-0.0408***",="0.120***",="0.0245",="0.0248***",="-0.00910***"
="",="(9.20)",="(-4.09)",="(-9.77)",="(-6.69)",="(17.76)",="(1.76)",="(7.18)",="(-4.60)"

="40.statefip",="0.0913***",="0.0521***",="-0.0312*",="-0.0195*",="-0.0137",="0.0334",="0.0416***",="0.00549**"
="",="(18.06)",="(4.79)",="(-2.61)",="(-2.03)",="(-0.89)",="(1.45)",="(8.44)",="(2.75)"

="41.statefip",="0.0330***",="0.0102",="-0.0908***",="0.0582***",="0.0302**",="0.0731***",="-0.0305***",="-0.0125***"
="",="(6.81)",="(1.04)",="(-16.01)",="(8.28)",="(3.29)",="(4.22)",="(-5.87)",="(-6.79)"

="42.statefip",="0.0222***",="-0.0678***",="-0.0766***",="-0.0201**",="0.159***",="-0.0288*",="0.0108*",="-0.0226***"
="",="(6.15)",="(-9.49)",="(-11.38)",="(-3.31)",="(19.99)",="(-2.28)",="(2.61)",="(-13.62)"

="44.statefip",="0.00615",="-0.106***",="-0.122***",="0.0351***",="0.200***",="0.165***",="0.0438***",="-0.00204"
="",="(0.89)",="(-7.80)",="(-18.22)",="(4.00)",="(16.69)",="(8.25)",="(7.22)",="(-0.74)"

="45.statefip",="0.0408***",="0.0259***",="-0.0737***",="0.0173**",="0.00611",="-0.132***",="-0.0733***",="-0.0349***"
="",="(12.16)",="(3.62)",="(-10.88)",="(3.01)",="(0.75)",="(-11.10)",="(-20.36)",="(-22.78)"

="46.statefip",="0.0909***",="-0.00414",="-0.136***",="-0.00892",="0.0811**",="-0.139***",="-0.0527***",="0.000712"
="",="(20.46)",="(-0.23)",="(-7.54)",="(-0.66)",="(3.43)",="(-5.07)",="(-15.17)",="(0.46)"

="47.statefip",="-0.000290",="0.00113",="-0.0524***",="0.0292***",="-0.0359***",="-0.117***",="-0.0391***",="-0.0232***"
="",="(-0.10)",="(0.20)",="(-9.79)",="(6.51)",="(-5.76)",="(-7.58)",="(-9.37)",="(-15.02)"

="48.statefip",="0.0367***",="0.0286**",="-0.0888***",="0.0472***",="-0.0413***",="-0.0190",="-0.0355***",="-0.0242***"
="",="(7.53)",="(3.36)",="(-13.19)",="(6.91)",="(-4.11)",="(-1.08)",="(-7.45)",="(-10.96)"

="49.statefip",="0.0636***",="-0.0643***",="-0.111***",="0.0548***",="0.0463**",="0.348***",="0.000484",="0.0345***"
="",="(13.63)",="(-4.95)",="(-8.98)",="(5.92)",="(3.03)",="(10.33)",="(0.08)",="(14.50)"

="50.statefip",="0.0870***",="-0.0139",="-0.0996***",="-0.0541***",="0.118***",="-0.165***",="0.0708***",="-0.0104***"
="",="(17.70)",="(-1.03)",="(-6.78)",="(-5.07)",="(5.49)",="(-6.30)",="(14.04)",="(-5.02)"

="51.statefip",="-0.00103",="-0.00642",="-0.116***",="0.0398***",="0.0601***",="-0.179***",="-0.0367***",="0.00970***"
="",="(-0.52)",="(-0.72)",="(-12.24)",="(6.26)",="(4.71)",="(-10.02)",="(-12.15)",="(10.07)"

="53.statefip",="-0.000225",="0.0161",="-0.0833***",="0.0303***",="0.0778***",="0.228***",="-0.00201",="-0.0179***"
="",="(-0.06)",="(1.84)",="(-19.69)",="(5.80)",="(9.78)",="(14.68)",="(-0.43)",="(-9.89)"

="54.statefip",="-0.0313***",="0.0236**",="-0.0745***",="-0.0437***",="0.0783***",="-0.0640***",="-0.0456***",="0.0111***"
="",="(-6.86)",="(3.01)",="(-18.07)",="(-7.25)",="(9.82)",="(-4.19)",="(-8.71)",="(6.11)"

="55.statefip",="0.0115*",="0.0423***",="-0.112***",="-0.0278***",="0.0638***",="0.211***",="-0.0233***",="-0.0208***"
="",="(2.15)",="(4.56)",="(-13.40)",="(-3.65)",="(6.14)",="(11.86)",="(-3.56)",="(-8.09)"

="56.statefip",="0.00147",="-0.142***",="0.0444***",="0.0522***",="0.0413**",="0.00199",="-0.132***",="0.0542***"
="",="(0.28)",="(-11.26)",="(3.81)",="(5.76)",="(2.77)",="(0.08)",="(-23.44)",="(27.92)"

="unemprate",="",="0.0121",="-0.00512",="-0.00322",="-0.00449",="-0.0372***",="",=""
="",="",="(2.00)",="(-0.84)",="(-0.74)",="(-0.56)",="(-4.10)",="",=""

="empstat",="",="0.00473***",="-0.00281***",="-0.00401***",="-0.00309***",="-0.00633***",="",="0.000118"
="",="",="(6.36)",="(-6.02)",="(-6.57)",="(-4.77)",="(-5.23)",="",="(0.54)"

="_cons",="-0.120*",="-0.572***",="0.424***",="0.369***",="0.819***",="1.354***",="0.242***",="0.0509*"
="",="(-2.24)",="(-6.70)",="(6.87)",="(4.34)",="(7.08)",="(8.39)",="(4.69)",="(2.03)"

="N",="9324",="9324",="9324",="9324",="9324",="9324",="9324",="9324"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
