
="",="(4.70)",="(7.85)",=""

="23.statefip",="-0.387**",="7.590***",="3.152"
="",="(-3.11)",="(16.49)",="(1.03)"

="24.statefip",="1.557***",="2.403***",=""
="",="(16.45)",="(6.98)",=""

="25.statefip",="1.405***",="2.034***",="4.114"
="",="(10.89)",="(5.88)",="(1.24)"

="26.statefip",="0.415**",="0.352",="0.921"
="",="(2.75)",="(1.84)",="(0.31)"

="27.statefip",="-0.493*",="2.477***",="4.932"
="",="(-2.46)",="(4.70)",="(1.76)"

="28.statefip",="-0.394***",="2.762***",=""
="",="(-5.65)",="(12.21)",=""

="29.statefip",="-0.984***",="-0.825***",=""
="",="(-14.16)",="(-4.26)",=""

="30.statefip",="-1.051***",="",=""
="",="(-7.40)",="",=""

="31.statefip",="0.676*",="1.968**",="6.396"
="",="(2.60)",="(3.49)",="(1.24)"

="32.statefip",="1.165***",="7.738***",=""
="",="(5.07)",="(18.46)",=""

="33.statefip",="-0.566*",="",=""
="",="(-2.36)",="",=""

="34.statefip",="1.378***",="1.433***",="5.333*"
="",="(16.58)",="(6.63)",="(2.20)"

="35.statefip",="0.608***",="1.817**",=""
="",="(7.18)",="(2.86)",=""

="36.statefip",="1.920***",="2.395***",="1.220"
="",="(9.40)",="(11.24)",="(0.63)"

="37.statefip",="0.752***",="0.257",="5.627"
="",="(9.74)",="(1.81)",="(1.62)"

="38.statefip",="-2.536***",="4.236***",=""
="",="(-7.21)",="(5.36)",=""

="39.statefip",="-0.446**",="1.496***",="-7.665"
="",="(-3.35)",="(7.34)",="(-1.29)"

="40.statefip",="-0.949***",="1.833**",="-1.594"
="",="(-5.77)",="(3.22)",="(-0.48)"

="41.statefip",="1.154***",="0.839",="0.712"
="",="(11.49)",="(1.55)",="(0.25)"

="42.statefip",="-1.049***",="-1.298***",="-5.338"
="",="(-9.44)",="(-6.12)",="(-1.45)"

="44.statefip",="0.528**",="2.718***",="12.87***"
="",="(2.98)",="(13.52)",="(4.87)"

="45.statefip",="0.716***",="0.0422",=""
="",="(5.43)",="(0.16)",=""

="46.statefip",="-0.340",="5.460***",=""
="",="(-1.12)",="(7.37)",=""

="47.statefip",="0.480***",="2.279***",="-1.085"
="",="(7.40)",="(9.89)",="(-0.47)"

="48.statefip",="2.109***",="1.161***",="0.791"
="",="(19.43)",="(4.36)",="(0.42)"

="49.statefip",="2.919***",="-0.966",=""
="",="(12.94)",="(-0.93)",=""

="50.statefip",="-1.574***",="7.363***",="-3.253"
="",="(-7.41)",="(10.68)",="(-1.00)"

="51.statefip",="-0.306*",="0.707",="3.180"
="",="(-2.01)",="(1.71)",="(0.50)"

="53.statefip",="0.400***",="0.180",="2.002"
="",="(5.65)",="(0.44)",="(0.93)"

="54.statefip",="-1.429***",="-1.607***",=""
="",="(-28.15)",="(-3.98)",=""

="55.statefip",="0.167",="-0.200",="15.69***"
="",="(1.29)",="(-0.46)",="(6.45)"

="56.statefip",="-0.826***",="1.940*",=""
="",="(-4.23)",="(2.44)",=""

="_cons",="26.44***",="22.55***",="39.29**"
="",="(24.06)",="(9.05)",="(3.32)"

="N",="6892",="1749",="174"

="t statistics in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
